"","GAME_ID","League","Day/Night","PlayingSurface","Weather","WindSpeed","WindDirection","Temperature"
"151","2013/04/12/tormlb-kcamlb-1","AL","N","G","Partly Cloudy",8,"L To R",52
"152","2013/04/12/phimlb-miamlb-1","NL","N","G","Partly Cloudy",14,"In From RF",83
"153","2013/04/12/milmlb-slnmlb-1","NL","N","G","Cloudy",13,"Varies",45
"154","2013/04/12/texmlb-seamlb-1","AL","N","G","Roof Closed",0,"None",46
"155","2013/04/13/atlmlb-wasmlb-1","NL","D","G","Partly Cloudy",12,"In From CF",57
"156","2013/04/13/balmlb-nyamlb-1","AL","D","G","Cloudy",6,"Out To CF",54
"157","2013/04/13/chamlb-clemlb-1","AL","D","G","Overcast",14,"L To R",44
"158","2013/04/13/cinmlb-pitmlb-1","NL","N","G","Partly Cloudy",13,"Out To LF",52
"159","2013/04/13/colmlb-sdnmlb-1","NL","N","G","Overcast",5,"Varies",63
"160","2013/04/13/detmlb-oakmlb-1","AL","D","G","Cloudy",10,"In From RF",65
"161","2013/04/13/houmlb-anamlb-1","AL","N","G","Cloudy",8,"Out To CF",60
"162","2013/04/13/lanmlb-arimlb-1","NL","N","G","Clear",8,"Out To RF",86
"163","2013/04/13/nynmlb-minmlb-1","AL","D","G","Overcast",12,"Out To RF",35
"164","2013/04/13/sfnmlb-chnmlb-1","NL","D","G","Overcast",16,"L To R",38
"165","2013/04/13/tbamlb-bosmlb-1","AL","D","G","Cloudy",7,"Out To RF",45
"166","2013/04/13/texmlb-seamlb-1","AL","N","G","Roof Closed",0,"None",46
"167","2013/04/13/tormlb-kcamlb-1","AL","N","G","Clear",11,"R To L",63
"168","2013/04/13/milmlb-slnmlb-1","NL","D","G","Partly Cloudy",10,"L To R",59
"169","2013/04/13/phimlb-miamlb-1","NL","N","G","Roof Closed",0,"None",72
"170","2013/04/14/atlmlb-wasmlb-1","NL","D","G","Sunny",4,"In From CF",61
"171","2013/04/14/balmlb-nyamlb-1","AL","N","G","Partly Cloudy",12,"L To R",56
"172","2013/04/14/chamlb-clemlb-1","AL","D","G","Cloudy",5,"In From RF",45
"173","2013/04/14/cinmlb-pitmlb-1","NL","D","G","Partly Cloudy",1,"Out To RF",54
"174","2013/04/14/colmlb-sdnmlb-1","NL","D","G","Overcast",13,"Out To RF",62
"175","2013/04/14/detmlb-oakmlb-1","AL","D","G","Sunny",10,"L To R",69
"176","2013/04/14/houmlb-anamlb-1","AL","D","G","Cloudy",5,"Out To CF",63
"177","2013/04/14/lanmlb-arimlb-1","NL","D","G","Roof Closed",0,"None",73
"178","2013/08/19/nynmlb-minmlb-1","AL","D","G","Cloudy",9,"R To L",78
"179","2013/04/14/sfnmlb-chnmlb-1","NL","D","G","Partly Cloudy",11,"Out To LF",42
"180","2013/04/14/tbamlb-bosmlb-1","AL","D","G","Partly Cloudy",14,"Out To RF",50
"181","2013/04/14/tormlb-kcamlb-1","AL","D","G","Overcast",18,"R To L",75
"182","2013/04/14/phimlb-miamlb-1","NL","D","G","Roof Closed",0,"None",73
"183","2013/04/14/milmlb-slnmlb-1","NL","D","G","Sunny",20,"R To L",76
"184","2013/04/14/texmlb-seamlb-1","AL","D","G","Partly Cloudy",4,"Out To CF",48
"185","2013/04/15/anamlb-minmlb-1","AL","N","G","Cloudy",16,"R To L",38
"186","2013/04/15/houmlb-oakmlb-1","AL","N","G","Partly Cloudy",25,"Out To RF",55
"187","2013/04/16/nynmlb-colmlb-1","NL","D","G","Cloudy",11,"In From LF",39
"188","2013/04/15/phimlb-cinmlb-1","NL","N","G","Partly Cloudy",9,"In From RF",69
"189","2013/04/15/slnmlb-pitmlb-1","NL","N","G","Cloudy",11,"Out To LF",62
"190","2013/04/15/tbamlb-bosmlb-1","AL","D","G","Partly Cloudy",3,"R To L",48
"191","2013/04/15/chamlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"192","2013/04/15/wasmlb-miamlb-1","NL","N","G","Roof Closed",0,"None",72
"193","2013/04/15/sdnmlb-lanmlb-1","NL","N","G","Partly Cloudy",9,"Out To RF",60
"194","2013/04/16/anamlb-minmlb-1","AL","N","G","Partly Cloudy",7,"In From LF",45
"195","2013/04/16/arimlb-nyamlb-1","AL","N","G","Partly Cloudy",17,"R To L",60
"196","2013/04/16/bosmlb-clemlb-1","AL","N","G","Overcast",2,"Out To RF",50
"197","2013/04/16/houmlb-oakmlb-1","AL","N","G","Clear",17,"Out To RF",63
"198","2013/04/16/kcamlb-atlmlb-1","NL","N","G","Partly Cloudy",7,"R To L",78
"199","2013/04/16/nynmlb-colmlb-2","NL","N","G","Overcast",5,"In From CF",36
"200","2013/04/16/phimlb-cinmlb-1","NL","N","G","Cloudy",20,"Varies",64
"201","2013/07/30/slnmlb-pitmlb-2","NL","N","G","Partly Cloudy",1,"Out To LF",75
"202","2013/04/16/tbamlb-balmlb-1","AL","N","G","Clear",14,"Out To CF",69
"203","2013/04/16/texmlb-chnmlb-1","NL","N","G","Partly Cloudy",5,"In From RF",39
"204","2013/04/16/chamlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"205","2013/04/16/wasmlb-miamlb-1","NL","N","G","Partly Cloudy",5,"In From LF",76
"206","2013/04/16/sfnmlb-milmlb-1","NL","N","G","Roof Closed",0,"None",70
"207","2013/04/16/detmlb-seamlb-1","AL","N","G","Cloudy",12,"In From RF",48
"208","2013/04/16/sdnmlb-lanmlb-1","NL","N","G","Clear",12,"Out To RF",62
"209","2013/09/09/anamlb-minmlb-1","AL","N","G","Partly Cloudy",13,"R To L",93
"210","2013/04/17/arimlb-nyamlb-1","AL","N","G","Clear",8,"Varies",68
"211","2013/04/17/bosmlb-clemlb-1","AL","N","G","Cloudy",17,"In From RF",46
"212","2013/04/17/houmlb-oakmlb-1","AL","D","G","Sunny",16,"In From LF",69
"213","2013/04/17/kcamlb-atlmlb-1","NL","D","G","Partly Cloudy",5,"Out To CF",79
"214","2013/06/27/nynmlb-colmlb-1","NL","D","G","Sunny",7,"In From RF",95
"215","2013/04/17/phimlb-cinmlb-1","NL","N","G","Partly Cloudy",9,"In From CF",77
"216","2013/04/17/slnmlb-pitmlb-1","NL","N","G","Partly Cloudy",4,"In From RF",68
"217","2013/04/17/tbamlb-balmlb-1","AL","N","G","Partly Cloudy",5,"In From CF",68
"218","2013/05/06/texmlb-chnmlb-1","NL","N","G","Partly Cloudy",5,"In From CF",56
"219","2013/04/17/chamlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"220","2013/04/17/wasmlb-miamlb-1","NL","N","G","Partly Cloudy",5,"In From LF",76
"221","2013/04/17/sfnmlb-milmlb-1","NL","N","G","Roof Closed",0,"None",62
"222","2013/04/17/detmlb-seamlb-1","AL","N","G","Partly Cloudy",1,"In From LF",54
"223","2013/04/17/sdnmlb-lanmlb-1","NL","N","G","Clear",8,"L To R",67
"224","2013/04/18/arimlb-nyamlb-1","AL","N","G","Cloudy",12,"In From RF",55
"225","2013/04/18/atlmlb-pitmlb-1","NL","N","G","Partly Cloudy",16,"R To L",83
"226","2013/04/18/bosmlb-clemlb-1","AL","N","G","Partly Cloudy",21,"Out To RF",81
"227","2013/04/18/miamlb-cinmlb-1","NL","N","G","Partly Cloudy",21,"Varies",81
"228","2013/04/18/nynmlb-colmlb-1","NL","D","G","Partly Cloudy",6,"Out To CF",28
"229","2013/04/18/tbamlb-balmlb-1","AL","N","G","Partly Cloudy",9,"Out To CF",59
"230","2013/04/18/texmlb-chnmlb-1","NL","D","G","Overcast",8,"Out To RF",58
"231","2013/04/18/sfnmlb-milmlb-1","NL","D","G","Roof Closed",0,"None",64
"232","2013/04/18/detmlb-seamlb-1","AL","D","G","Cloudy",0,"None",51
"233","2013/04/18/slnmlb-phimlb-1","NL","N","G","Cloudy",8,"R To L",64
"234","2013/04/18/chamlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"235","2013/04/19/arimlb-colmlb-1","NL","N","G","Cloudy",3,"In From LF",52
"236","2013/04/19/atlmlb-pitmlb-1","NL","N","G","Cloudy",13,"R To L",49
"237","2013/04/19/clemlb-houmlb-1","AL","N","G","Clear",9,"In From CF",66
"238","2013/04/19/detmlb-anamlb-1","AL","N","G","Clear",6,"Out To CF",77
"239","2013/04/21/kcamlb-bosmlb-2","AL","N","G","Clear",13,"In From RF",47
"240","2013/04/20/lanmlb-balmlb-1","AL","D","G","Partly Cloudy",13,"Out To RF",52
"241","2013/04/19/miamlb-cinmlb-1","NL","N","G","Cloudy",21,"R To L",46
"242","2013/08/09/minmlb-chamlb-1","AL","D","G","Partly Cloudy",2,"In From RF",82
"243","2013/04/19/oakmlb-tbamlb-1","AL","N","T","Dome",-1,"",72
"244","2013/04/19/sdnmlb-sfnmlb-1","NL","N","G","Clear",3,"Varies",62
"245","2013/04/19/seamlb-texmlb-1","AL","N","G","Clear",3,"Varies",62
"246","2013/04/19/wasmlb-nynmlb-1","NL","N","G","Overcast",20,"Out To LF",59
"247","2013/04/19/slnmlb-phimlb-1","NL","N","G","Cloudy",17,"L To R",74
"248","2013/04/19/nyamlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"249","2013/04/19/chnmlb-milmlb-1","NL","N","G","Roof Closed",0,"None",62
"250","2013/04/20/arimlb-colmlb-1","NL","N","G","Overcast",8,"R To L",52
"251","2013/04/20/atlmlb-pitmlb-1","NL","N","G","Cloudy",14,"Out To LF",45
"252","2013/04/20/chnmlb-milmlb-1","NL","N","G","Roof Closed",0,"None",70
"253","2013/04/20/clemlb-houmlb-1","AL","N","G","Clear",12,"Out To LF",68
"254","2013/04/20/detmlb-anamlb-1","AL","D","G","Sunny",4,"Out To CF",77
